original_name,accommodation_name,host_name,date,language,review_sentiment,cleanliness,location,value_for_money,positive_aspects,negative_aspects,relevant_insights,short_summary
PATEO LUSO - Cozy Apartment City Center,PATEO LUSO - Cozy Apartment City Center,Tiago,2016-10-25,en,Positivo,Muy limpia,"Buena ubicación, fácil acceso a atracciones turísticas",No mencionado,"['Limpieza', 'Calidez y comodidad', 'Equipamiento completo de cocina', 'Balcony agradable', 'Recomendaciones de restaurantes locales', 'Amabilidad del anfitrión']",['Preocupación inicial por chinches'],"['El anfitrión es amable y servicial', 'El lugar es ideal para turistas']","El apartamento es limpio, seguro y acogedor, con un anfitrión amable que ofrece buenas recomendaciones."
Fantastic suite w/ bathroom. Porto city center,Fantastic suite w/ bathroom. Porto city center,H.Ö.H,2018-08-13,it,Positivo,Impeccabile,"Bella e tranquilla, a 15 minuti a piedi dal centro",No mencionado,"['Host eccezionali', 'Stanza nuovissima e accogliente', 'Pulizia impeccabile', 'Design semplice e minimale', 'Facile parcheggio gratuito', 'Internet e wifi alla massima velocità']","['Qualche lavoretto ancora in corso', 'Non si può mangiare in stanza']","['Host disponibili e attenti', 'Ambiente ben insonorizzato']",Un'esperienza meravigliosa in un ambiente accogliente e con host eccezionali.
Bright2bedrooms apart. w/ parking option&panoramic,Bright2bedrooms apart. w/ parking option&panoramic,Mariana Costa,2020-01-21,en,Positivo,No mencionado,"Excelente, en el corazón de la ciudad.",No mencionado,"['Apartamento estiloso y espacioso', 'Gran vista hacia el río', 'Cocina bien equipada', 'Baños modernos y con duchas potentes', 'Linen proporcionado']",['No se mencionan aspectos negativos'],"['Café Lobito recomendado para desayunos', 'Taxis disponibles 24 horas', 'Bar Gazela Entreparedes cercano y amigable', 'Uso del funicular para bajar al área del puerto']","Apartamento ideal para visitar Porto, con excelente ubicación y comodidades."
Charming Suite with shared garden in City Center,Charming Suite with shared garden in City Center,Manor House Porto,2015-09-03,en,Mixto,Negativa,Positiva,No mencionado,"['Claudia fue muy amable y útil', 'Vista espectacular', 'Ubicación perfecta', 'Encanto histórico del apartamento']","['Jardín mal mantenido', 'Apartamento húmedo con olor a moho', 'Cama incómoda y ruidosa']","['Mejorar el mantenimiento del jardín', 'Atender el problema de humedad en el apartamento', 'Considerar mejorar la calidad del colchón']","A pesar de algunos problemas de humedad y una cama incómoda, disfrutaron de la ubicación y la hospitalidad."
GuestReady - Square Painted Ceuta,GuestReady - Square Painted Ceuta,GuestReady,2021-11-28,de,Mixto,Negativa,Positiva,No mencionado,"['Super zentrale Lage', 'Check in und out war sehr einfach', 'Pedro war wirklich sehr freundlich']","['Sauberkeit des AirBnbs lässt zu wünschen übrig', 'Bettwäsche hatte Haare', 'Boden war dreckig', 'Waschbecken ist undicht', 'Nicht genug Bettwäsche für 3 Personen', 'Schlafsofa kippelt und quietscht', 'Kein ausreichendes Toilettenpapier']","['Nicht geeignet für 3 Personen', 'Unhygienisch, Bettwäsche teilen ist problematisch']","Lage ist perfekt, pero la limpieza y la falta de suministros son preocupantes."
House or Rooms Near the City Center,House or Rooms Near the City Center,Fátima,2016-06-12,en,Positivo,El apartamento es limpio,"Ubicación conveniente, a 10 minutos a pie de la estación de metro",No mencionado,"['Apartamento espacioso', 'Cocina bien equipada', 'Dos baños', 'Proximidad a la vida nocturna y festivales']",[],"['Apropiado para grupos grandes', 'Cerca de transporte público', 'Provisión de consumibles en la cocina']","El apartamento de Fátima fue perfecto para nuestro grupo, limpio y espacioso, con buena ubicación y comodidades."
FH5 - Studio+Balcony in Downtown Porto,FH5 - Studio+Balcony in Downtown Porto,Patrícia & Rui,2022-09-20,it,Positivo,Pulita,Zona tranquilla e facilmente raggiungibile,No mencionado,"['Accogliente e spaziosa', 'Completa di tutte le comodità', 'Gentilezza e disponibilità del host', 'Design fantastico e tocco personale']",['Manca la lavatrice'],"['Vicino alla metropolitana e alla stazione dei treni', 'Suggerimenti utili forniti dal host']","Appartamento accogliente e ben posizionato, con ottimi servizi e un host molto disponibile."
Apt. T - Boavista Music House,Apt. T - Boavista Music House,Abel E Regina,2018-01-11,en,Mixto,Negativa,Positiva,Negativa,"['Nice place', 'good location', 'clean', 'accommodating and friendly host']","['flat was VERY cold', 'bathroom tiles and ceiling need cleaning', 'tiles next to the tub faucet is broken', 'kitchen smells like mildew', 'door in kitchen to laundry area does not close', 'issues with key deposit']","['Ask to put the heat to 25 for at least 2 hours before arrival', 'Discuss key deposit return process in advance']","The flat is nice and clean with a good location, but it was very cold and had several maintenance issues."
"Apartamento ""La Peinture de Porto""","Apartamento ""La Peinture de Porto""",Marta,2022-06-11,fr,Positivo,Nada que reprochar,"Acceso fácil a las riberas del Douro, estacionamiento fácil en el barrio",No mencionado,"['Entrée principale sécurisée', 'Literie de bonne qualité', 'Hôte réactif', 'Vue conforme à la photo']","['Cantidad de ropa de casa insuficiente para estancias largas', 'Falta de utensilios de cocina adecuados']","['Agregar un escurridor para pasta o arroz', 'Cambiar cuchillos que no cortan bien', 'Incluir más cacerolas y platos hondos']","Un alojamiento tranquilo y bien ubicado, ideal para parejas, aunque se sugiere mejorar la cantidad de utensilios de cocina y ropa de casa."
Apartment  Douro Ribeira Porto,Apartment  Douro Ribeira Porto,Luis,2019-04-21,en,Mixto,Negativa,Positiva,Negativa,"['Excelente ubicación', 'Vista del río', 'Cama cómoda']","['Café roto', 'Esponja sucia', 'Baño muy pequeño', 'Crecimiento de moho', 'Falta de utensilios de limpieza', 'Piso roto', 'Ventilador roto']","['Necesita mejoras en limpieza y mantenimiento', 'Proveer más almohadas', 'Reemplazar utensilios de cocina dañados']","La ubicación es excelente, pero el alojamiento necesita mejoras significativas en limpieza y mantenimiento."
