Id,SentimientoGeneral,AspectosPositivos,AspectosNegativos,Dificultad,RendimientoTecnico,BugsProblemas,Jugabilidad,HistoriaContenido,PrecioValor,InsightPrincipal,RecomendadoOriginal,RecomendadoBinario
10230,Mixto,"['Mundo abierto inmersivo y realista', 'Narrativa y personajes bien desarrollados', 'Exploración recompensada con encuentros únicos', 'Banda sonora destacada']","['Numerosos bugs y problemas técnicos', 'Mecánicas de RPG limitadas', 'Combate poco refinado', 'Problemas de inmersión debido a glitches']",No Mencionado,"A pesar de las mejoras, sigue teniendo problemas técnicos significativos","['Bloqueos suaves', 'Bugs gráficos y glitches técnicos', 'NPCs con problemas de carga', 'Diálogos con errores de animación']","Subpar, con mecánicas de combate y RPG limitadas",Narrativa fuerte con personajes memorables y finales satisfactorios,No Mencionado,"Cyberpunk 2077 es inmersivo y narrativamente fuerte, pero plagado de bugs y problemas técnicos.",Recomendado,1
5184,Negativo,"['Conducción de vehículos', 'Primeras horas de la historia']","['IA deficiente', 'Stealth muy malo', 'Combate mediocre', 'Falta de variedad en armas', 'Problemas de movimiento', 'Gráficos inconsistentes', 'Dificultad mal balanceada', 'Funcionalidad muy buggy']",No Mencionado,"Extremadamente buggy, con muchos glitches y problemas de funcionalidad","['Personajes glitchando', 'Coches atascados', 'Cortes de escenas no cargando', 'Animaciones no cargando', 'Diálogos superpuestos']","Mecánicas de combate y movimiento insatisfactorias, con problemas de control",La historia es buena al principio pero se siente apresurada y vacía al final,No mencionado,El juego tiene un buen inicio pero se desmorona debido a múltiples problemas técnicos y de diseño.,No recomendado,0
14558,Mixto,"['gráficos', 'diseño del mundo', 'historia y narrativa', 'banda sonora', 'actuación de voz']","['creación de personajes limitada', 'IA de NPCs', 'dificultad del juego', 'sistema de loot aburrido', 'mecánicas de crafting y mejora inútiles', 'navegación de UI complicada', 'impacto limitado de las elecciones de vida']",Fácil,No mencionado,"['bugs', 'glitches', 'problemas de rendimiento']","mediocre, combate y gunplay no son innovadores","buena, pero con personajes y facciones desaprovechados",esperar a que esté en oferta y más estable,"Es un buen juego con muchos defectos, pero no cumple con las expectativas de la publicidad.",Recomendado,1
19749,Mixto,"['Bien hecho', 'Alta calidad']","['Controles con retraso', 'Progresión de juego pobre', 'Historia confusa y críptica', 'Problemas de calidad de vida']",Difícil,Controles laggy y retraso en las entradas,"['Retraso en el movimiento al esquivar', 'Problemas de diseño en la interfaz']","Basada en el tiempo y patrones de ataque, no adecuada para todos los jugadores","Historia críptica y difícil de seguir, falta de motivación clara para el personaje",No mencionado,"El juego es desafiante y de alta calidad, pero su diseño críptico y problemas de control pueden frustrar a muchos jugadores.",Recomendado,1
5037,Negativo,"['caballo de combate', 'diversión adictiva']","['movimiento con retraso', 'mundo vacío', 'consumo de resistencia aleatorio', 'gráficos feos y deslavados', 'mecánicas de sigilo pobres', 'controles imprecisos', 'falta de innovación']",No Mencionado,"muy laggy, problemas de optimización","['crash del monitor', 'fallo en la pelea supuesta de pérdida', 'modelos de bajo resolución']","mecánicas de combate y sigilo decepcionantes, experiencia de juego aburrida",No mencionado,No mencionado,"El juego se siente aburrido y poco innovador, con problemas técnicos significativos.",No recomendado,0
15673,Mixto,"['Banda sonora brillante', 'Exploración amplia y satisfactoria', 'Diseño del mundo atractivo', 'Libertad en el combate', 'Encuentros de jefes asombrosos']","['Repetición de estructuras y enemigos', 'Problemas de rendimiento', 'Reutilización de contenido', 'Dificultad de algunos encuentros']",Equilibrado,"Corre a 60 FPS la mayor parte del tiempo, pero presenta problemas de rendimiento y tartamudeo.","['Problemas de frame pacing', 'Stuttering']",Combate similar a Dark Souls 3 con adiciones que mejoran la experiencia.,Contenido extenso pero con algunas áreas recicladas que afectan la sensación de descubrimiento.,No mencionado,"Elden Ring ofrece una experiencia de exploración y combate satisfactoria, pero sufre de repetición y problemas técnicos.",Recomendado,1
9218,Negativo,"['Música increíble', 'Historia bien entrelazada']","['Problemas de rendimiento', 'IA deficiente', 'Falta de personalización', 'Poca rejugabilidad', 'Mecánicas de combate aburridas', 'Actividades en la ciudad limitadas']",Equilibrado,"Lleno de problemas de rendimiento, especialmente en consolas.","['IA que hace spawn de NPCs de la nada', 'Policía que aparece de forma ilógica']","Mecánicas de combate aburridas y repetitivas, falta de profundidad en las habilidades.","Historia interesante pero no excepcional, finales sorprendentes.","No vale la pena, juego incompleto.",Un juego decepcionante que no cumple con las expectativas tras años de desarrollo.,No recomendado,0
2246,Negativo,[],"['Mecánicas de juego confusas', 'Narrativa inconsistente', 'Falta de personalización', 'Problemas de diseño en la interfaz', 'Decisiones de desarrollo cuestionables']",No Mencionado,No mencionado,[],Mecánicas de combate y control frustrantes,Narrativa superficial y sin desarrollo de personajes,No mencionado,Cyberpunk 2077 carece de una razón convincente para jugarlo debido a su diseño deficiente y narrativa inconsistente.,No recomendado,0
3656,Negativo,[],"['Mecánicas de juego confusas', 'Narrativa inconsistente', 'Falta de personalización', 'Problemas de diseño en la interfaz', 'Elementos de juego poco funcionales']",No Mencionado,No mencionado,[],Mecánicas de combate y control frustrantes,Narrativa poco satisfactoria y personajes mal desarrollados,No mencionado,"Cyberpunk 2077 carece de coherencia y funcionalidad, lo que dificulta disfrutarlo.",No recomendado,0
5249,Negativo,"['Historia y personajes bien desarrollados', 'Gráficos y sonido atractivos']","['Rendimiento pobre', 'Bugs y glitches constantes', 'IA deficiente', 'Mecánicas de juego poco satisfactorias']",No Mencionado,"Pobre, con muchos bugs y problemas de optimización","['T-posing', 'Modelos de personajes faltantes', 'Vehículos flotando', 'Armas equipadas incorrectamente']","Mecánicas de combate y exploración insatisfactorias, IA poco inteligente",Historia interesante pero superficial en temas de ciberpunk,No mencionado,Es un juego disfrutable pero muy afectado por problemas técnicos que arruinan la experiencia.,No recomendado,0
9343,Negativo,"['Historia y personajes bien desarrollados', 'Gráficos y sonido atractivos']","['Bugs y glitches constantes', 'Rendimiento pobre', 'IA deficiente', 'Falta de interactividad en el mundo']",No Mencionado,Problemas de rendimiento y bugs que afectan la experiencia,"['T-posing', 'Modelos de personajes faltantes', 'Vehículos atascados', 'Armas equipadas incorrectamente']","Mecánicas de combate y exploración insatisfactorias, falta de profundidad en el sistema de rol",Historia interesante pero superficial en temas de ciberpunk,No mencionado,Es un juego disfrutable pero muy afectado por problemas técnicos y falta de pulido.,No recomendado,0
9589,Negativo,"['Gráficos personalizables', 'Disfrute del gunplay y personajes']","['Excesiva cantidad de bugs', 'Controles confusos', 'Rendimiento inconsistente']",No Mencionado,"Rendimiento inestable, requiere ajustes para jugabilidad aceptable","['Bugs gamebreaking', 'Bugs visuales y de audio', 'NPCs apareciendo de la nada', 'Problemas de sincronización de audio']",Mecánicas de juego disfrutables pero con problemas de control,"Historia y personajes interesantes, pero no se ha completado",Recomendado esperar por arreglos y optimizaciones,"El juego tiene potencial, pero está lleno de problemas técnicos que arruinan la experiencia.",No recomendado,0
1517,Negativo,"['Gráficos personalizables', 'Disfrutable jugabilidad', 'Personajes interesantes']","['Excesiva cantidad de bugs', 'Controles confusos', 'Bajo rendimiento', 'Problemas de optimización']",No Mencionado,"Rendimiento inestable, FPS bajos, requiere optimización","['Enemigos desaparecen', 'Objetivos de misión no se completan', 'Cuerpos flotantes', 'Problemas de sincronización de audio', 'Interacciones fallidas con objetos']",Mecánicas de juego variadas pero con problemas de control,"Historia aceptable, pero no se ha completado",No mencionado,Recomiendo esperar por arreglos y optimizaciones antes de jugar.,No recomendado,0
8780,Negativo,"['Potencial del juego', 'Historia principal y misiones secundarias', 'Diseño estético y visual', 'Música']","['Baja inmersión', 'Opciones de personalización limitadas', 'NPCs sin vida', 'Sistema de ciberware poco satisfactorio', 'Limitada selección de ropa', 'Falta de actividades recreativas', 'Exploración poco gratificante']",No Mencionado,No mencionado,"['Bugs técnicos', 'IA de tráfico deficiente']",Mecánicas de juego insatisfactorias y falta de actividades en el mundo,"Historia y personajes bien desarrollados, pero falta de profundidad en la narrativa",No mencionado,"El juego tiene un gran potencial, pero actualmente no cumple con las expectativas.",No recomendado,0
4523,Negativo,"['Historia interesante', 'Combate decente']","['Falta de inmersión', 'Mundo vacío y poco detallado', 'IA de NPCs deficiente', 'Promesas no cumplidas por parte de los desarrolladores']",No Mencionado,"Necesita arreglos, pero los problemas fundamentales son más preocupantes","['IA de la policía deficiente', 'NPCs sin rutinas diarias']","Promete más de lo que ofrece, falta de profundidad en las decisiones","Buena historia, pero no suficiente para compensar otros aspectos","Debería esperar a parches o rebajas, no vale la pena a precio completo","El juego es solo promedio, con una historia que no logra salvar la falta de contenido y profundidad.",No recomendado,0
456,Negativo,"['Historia interesante', 'Combate decente']","['Falta de inmersión', 'Mundo vacío y poco detallado', 'IA de NPCs deficiente', 'Promesas incumplidas por parte de los desarrolladores']",No Mencionado,"Necesita arreglos, pero los problemas fundamentales son más preocupantes","['IA de la policía que aparece instantáneamente', 'NPCs que caminan en círculos']",Falta de profundidad en las decisiones y exploración,"Buena historia, pero no suficiente para compensar otros aspectos",Esperar parches o rebajas antes de comprar,El juego es promedio y no cumple con las expectativas establecidas por los desarrolladores.,No recomendado,0
1925,Negativo,"['Gráficos atractivos', 'Animaciones y sonidos de armas']","['Mala optimización', 'Problemas de rendimiento', 'Narrativa débil', 'Falta de desarrollo de personajes', 'Mecánicas de combate clunky', 'Personalización superficial', 'Interfaz de usuario irritante']",No Mencionado,"El juego corre extremadamente mal, con caídas de FPS y problemas de stuttering.","['Congelaciones en las cinemáticas', 'Objetos que aparecen y desaparecen', 'Texturas que se descargan', 'Problemas de física', 'Vehículos que manejan mal']","Mecánicas de combate mediocres y clunky, conducción incómoda, y hacking inconsistente.",Narrativa poco desarrollada y falta de opciones significativas en el juego.,"No vale la pena el precio actual, mejor esperar a que se arreglen los problemas.",El juego apenas funciona a nivel técnico y no ofrece una experiencia de diseño satisfactoria.,No recomendado,0
4745,Negativo,"['Gráficos atractivos', 'Mecánicas de disparo agradables']","['Rendimiento técnico deficiente', 'Narrativa lineal', 'Desarrollo de personajes pobre', 'Mecánicas de combate inconsistentes', 'Personalización superficial', 'Interfaz de usuario irritante']",No Mencionado,"El juego tiene un rendimiento muy pobre, con caídas de FPS y problemas de estabilidad.","['Congelaciones en las cinemáticas', 'Texturas que se descargan', 'Problemas de clipping', 'Vehículos que se comportan de manera extraña', 'Errores en la física']","La jugabilidad es inconsistente, con mecánicas de combate y conducción que no se sienten satisfactorias.","La historia es lineal y carece de desarrollo de personajes, lo que dificulta la inversión emocional.","No vale la pena el precio actual, se recomienda esperar a que se solucionen los problemas.",El juego apenas funciona a nivel técnico y no cumple con las expectativas de diseño.,No recomendado,0
8046,Negativo,"['Animaciones y sonidos de armas', 'Estética visual del mundo']","['Rendimiento técnico deficiente', 'Problemas de diseño en la jugabilidad', 'Falta de desarrollo de personajes', 'Mecánicas de combate inconsistentes', 'Personalización superficial del personaje', 'Interfaz de usuario irritante']",No Mencionado,"El juego corre extremadamente mal, con caídas de FPS y problemas de estabilidad.","['Congelaciones y tartamudeos en las cinemáticas', 'Objetos que aparecen y desaparecen', 'Problemas de física', 'Errores de clipping en animaciones']","Mecánicas de combate mediocres y clunky, con problemas en el sistema de sigilo y combate cuerpo a cuerpo.","La narrativa es inconsistente y carece de desarrollo de personajes, con decisiones que no tienen un impacto significativo.",No vale la pena comprarlo hasta que se solucionen los problemas y esté en oferta.,El juego apenas funciona a nivel técnico y no ofrece una experiencia de diseño satisfactoria.,No recomendado,0
15722,Positivo,"['Gran historia', 'Personajes interesantes', 'Amplio mundo para explorar', 'Mecánicas de juego variadas']","['Problemas de conducción', 'Dificultad para orientarse en la ciudad', 'Glitches gráficos menores']",Equilibrado,"Rendimiento aceptable en hardware limitado, con caídas de FPS en áreas concurridas","['Glitches gráficos menores', 'NPCs atravesando objetos', 'Personajes en posiciones extrañas']","Mecánicas de juego variadas y entretenidas, aunque la conducción es deficiente",Historia intrigante con un buen desarrollo de personajes,"Buena relación calidad-precio, especialmente en oferta","A pesar de algunos problemas técnicos y de conducción, el juego ofrece una experiencia envolvente y entretenida.",Recomendado,1
10076,Mixto,"['Ambientación inmersiva', 'Personajes bien diseñados y escritos', 'Jugabilidad sólida', 'Sistema de implantes divertido', 'Banda sonora excelente']","['Falta de ciertas características prometidas', 'Problemas de rendimiento en consolas', 'Bugs visuales y algunos game-breaking', 'Marketing engañoso']",Equilibrado,"Mejoró significativamente desde el lanzamiento, pero aún presenta problemas en consolas antiguas.","['Genitales saliendo de la ropa', 'NPCs comportándose de manera extraña', 'Caídas que causan bucles de animación', 'Muerte por caídas de poca altura']","Mecánicas de combate y exploración satisfactorias, aunque con algunas limitaciones en los perks.","Narrativa y personajes de alta calidad, comparables a otros grandes juegos.","Valor razonable, pero con expectativas de mejora futura.","A pesar de sus fallos, el juego ofrece una experiencia rica y envolvente que vale la pena explorar.",Recomendado,1
5827,Negativo,"['Visualmente impresionante', 'Gran atmósfera', 'Lore interesante', 'Buen sistema de combate', 'Grandes misiones secundarias', 'Sistema de perks y equipamiento de cyberware']","['Mala optimización', 'IA deficiente', 'Mecánicas decepcionantes', 'Historia recortada', 'Sistema de policías inexistente', 'Final cerrado sin posibilidad de continuar']",No Mencionado,"Pobre optimización, aún con bugs y problemas técnicos","['Minimap no se aleja al conducir', 'IA de NPCs muy limitada', 'Problemas con el sistema de policías']","Mecánicas decepcionantes, sensación de vacío en el mundo abierto","Historia buena pero muy recortada, final cerrado",No mencionado,"A pesar de algunos aspectos positivos, el juego está lleno de problemas y decepciones.",No recomendado,0
5399,Mixto,"['Banda sonora perfecta', 'Estética cyberpunk bien lograda', 'Personajes bien desarrollados como Panam y Judy', 'Mecánicas de combate satisfactorias', 'Efectos visuales de braindances y netrunning']","['Malas optimizaciones y rendimiento', 'Demasiados bugs y problemas técnicos', 'IA inexistente', 'Mala experiencia de conducción', 'Contenido y misiones recortadas', 'Opciones de diálogo sin impacto real']",Equilibrado,"Mal rendimiento y optimización, especialmente en hardware más antiguo.","['Físicas y animaciones defectuosas', 'Problemas de IA', 'Barras negras en pantalla al cargar', 'Errores en misiones y mecánicas']","Combate y mecánicas satisfactorias, pero con falta de balance.","Historia principal y personajes bien escritos, pero con contenido recortado.",No mencionado,Un gran juego que necesita más tiempo de desarrollo y parches para ser disfrutado plenamente.,No recomendado,0
13786,Mixto,"['Historia', 'Visuales', 'Música', 'Mundo bien construido', 'Inmersión']","['Numerosos bugs', 'Finales decepcionantes', 'Problemas de conducción', 'Diálogos limitados']",No Mencionado,"Problemas de rendimiento y bugs, pero ha mejorado con parches.","['Glitches', 'Problemas de estabilidad', 'Errores en el juego', 'Crashes aleatorios']","Experiencia de juego divertida, pero con problemas en mecánicas y conducción.",Historia bien construida pero decepcionante en los finales.,Valor razonable a pesar de los problemas.,"A pesar de sus fallos, Cyberpunk 2077 ofrece una experiencia divertida y extensa.",Recomendado,1
19075,Mixto,"['Ambiente cautivador de Night City', 'Libertad de exploración', 'Interacción con personajes interesantes']","['Expectativas no cumplidas', 'Problemas de narrativa', 'Bugs y glitches frecuentes']",No Mencionado,Bugs y glitches afectan la experiencia de juego,"['Glitches al surfear sobre el coche', 'Objetos flotantes', 'Personajes decapitados que siguen vivos']",Mecánicas de juego divertidas pero con problemas de narrativa,Narrativa inconsistente y problemas con la misión principal,No Mencionado,"Cyberpunk 2077 es un juego que existe entre lo bueno y lo malo, con un gran potencial pero lleno de problemas técnicos.",Recomendado,1
14650,Mixto,"['Mundo abierto enorme', 'Gráficos mejorados', 'Rendimiento técnico sólido', 'Infinita elección y secretos', 'Incluye todos los DLC']","['Animaciones pobres', 'Actuación de voz amateur', 'Diseño de misiones simplista', 'El juego muestra su edad']",Equilibrado,Rendimiento muy bueno con casi sin ralentizaciones y pocos bugs,['Pocos bugs mencionados'],"Mecánicas accesibles y variadas, pero con problemas en el diálogo y la interacción",Historia interesante pero con diseño de misiones simplista,Increíble relación calidad-precio para nuevos jugadores,"Skyrim Special Edition es una gran experiencia, aunque muestra su edad en varios aspectos.",Recomendado,1
17719,Mixto,"['clásica fórmula de souls', 'gran selección de armas y armaduras', 'historia bien escrita y cautivadora', 'nuevo sistema de elaboración intuitivo', 'jugabilidad dinámica']","['lanzamiento terrible con muchos bugs', 'encuentros de jefes mecánicamente aburridos', 'cantidad abominable de contenido reciclado', 'parches no anunciados rompen construcciones', 'contenido secundario poco interesante']",Equilibrado,"Problemas de rendimiento y bugs en el lanzamiento, pero la mayoría han sido rectificados.","['problemas de rendimiento', 'fallos y bloqueos', 'texturas que se rompen', 'problemas de clipping']","Combate fluido pero a veces torpe, mayor libertad para construir personajes.",Historia intrigante que requiere múltiples partidas para entenderla completamente.,"Recomendado en su estado actual, pero esperar una oferta si no eres fan del género.","Elden Ring es una aventura bien escrita y visualmente impresionante, pero sufre de problemas de diseño y reciclaje de contenido.",Recomendado,1
16867,Mixto,"['clásica fórmula de souls', 'gran selección de armas y armaduras', 'historia bien escrita y cautivadora', 'nueva mecánica de crafting intuitiva', 'combate más perdonador que en títulos anteriores']","['lanzamiento terrible con muchos bugs', 'encuentros de jefes mecánicamente aburridos', 'cantidad abominable de contenido reciclado', 'parches no anunciados rompen builds', 'experiencia de mundo abierto decepcionante']",Equilibrado,"Problemas de rendimiento en el lanzamiento, pero la mayoría han sido rectificados.","['fluctuaciones menores en la tasa de fotogramas', 'textura desgastada y problemas de clipping', 'volúmenes de bugs y caídas experimentadas']","Mecánicas de combate fluidas pero a veces torpes, libertad para construir personajes.",Historia intrigante que requiere múltiples partidas para comprender completamente.,"Juego decente que puede atraer a una audiencia más amplia, pero se sugiere esperar una oferta si no eres fan del género.","Elden Ring es una aventura bien escrita y visualmente impresionante, aunque su formato abierto no siempre se adapta bien a la fórmula clásica.",Recomendado,1
15911,Mixto,"['Diseños impresionantes', 'Gráficos asombrosos', 'Personajes memorables y bien escritos', 'Misiones secundarias ricas', 'Historia bien escrita', 'Simbolismo profundo', 'Banda sonora excelente']","['Jugabilidad aburrida después de un tiempo', 'Personalización limitada', 'Problemas con la ciberware', 'Consecuencias de acciones poco impactantes', 'Problemas técnicos y bugs', 'Expectativas no cumplidas']",No Mencionado,"Mal rendimiento y optimización, con muchos bugs y glitches","['Bugs y glitches legendarios', 'Problemas de optimización en RTX 3060']","Jugabilidad repetitiva y aburrida, aunque la historia y los personajes mantienen el interés",Historia principal bien escrita y llena de encuentros memorables,No es el momento adecuado para jugarlo debido a los problemas técnicos,"El juego tiene un gran mundo y personajes, pero está plagado de problemas técnicos y no cumple con las altas expectativas.",Recomendado,1
12193,Mixto,"['Diseños impresionantes', 'Gráficos asombrosos', 'Personajes memorables y bien escritos', 'Misiones secundarias ricas', 'Historia bien escrita', 'Simbolismo profundo', 'Banda sonora excelente']","['Jugabilidad aburrida después de un tiempo', 'Personalización limitada', 'Problemas con la ciberware', 'Consecuencias de las acciones poco impactantes', 'Problemas técnicos y bugs', 'Expectativas demasiado altas']",No Mencionado,"Problemas de optimización y rendimiento, muchos bugs y glitches","['Bugs y glitches legendarios', 'Problemas de optimización en RTX 3060']","Jugabilidad aburrida y repetitiva, aunque la historia y los personajes mantienen el interés",Historia principal bien escrita y llena de encuentros memorables,No Mencionado,"El juego tiene un gran mundo y personajes, pero está plagado de problemas técnicos y expectativas no cumplidas.",Recomendado,1
3473,Negativo,"['Ambicioso', 'Brillante en muchos aspectos']","['Diseño de combate horrible', 'Repetición de jefes', 'Problemas de conexión en cooperativo', 'Lag en PvP', 'Mala optimización en PC', 'Input lag y cola de acciones']",Equilibrado,"Mala optimización, problemas de conexión y lag","['Cámara problemática', 'Problemas de conexión en cooperativo', 'Input lag', 'Cola de acciones']","Mecánicas de combate frustrantes, especialmente contra jefes",No mencionado,No mencionado,"El juego tiene un gran potencial, pero sufre de problemas técnicos y de diseño que afectan la experiencia.",No recomendado,0
1242,Negativo,['Gráficos agradables en PC'],"['Bugs visuales y de juego', 'Mecánicas de juego aburridas', 'Falta de libertad en las decisiones', 'IA deficiente', 'Mundo no abierto como se prometió']",No Mencionado,Problemas de rendimiento y bugs técnicos,"['Bugs que impiden completar misiones', 'Vehículos que aparecen de manera errática', 'Cops que aparecen instantáneamente', 'Problemas con la mecánica de sigilo']",Mecánicas de juego genéricas y poco interesantes,Historia decepcionante y misiones repetitivas,No vale la pena a menos que esté en oferta masiva,No jugar este juego a menos que estés extremadamente aburrido.,No recomendado,0
19915,Mixto,"['Mundo inmersivo', 'Gráficos asombrosos', 'Gran cantidad de contenido', 'Decisiones que afectan la historia']","['Conducción de vehículos rígida', 'Sistema de waypoint deficiente', 'Mecánicas de juego mediocres', 'Asaltos con rifles ineficaces']",Equilibrado,"Estable, con algunos bugs visuales menores","['Caer a través del mapa', 'Bugs visuales ocasionales']","Promedio, con opciones creativas en sigilo pero falta de satisfacción","Historia decente, evita clichés aburridos, decisiones que afectan relaciones","Buena relación calidad-precio, comparable a una noche de salida","Un juego inmersivo que, a pesar de sus fallos, ofrece horas de diversión.",Recomendado,1
19010,Mixto,"['Historia rica y detallada', 'Personajes bien desarrollados', 'Opciones de misiones opcionales bien escritas']","['Rendimiento técnico horrible', 'Mundo vacío y poco contenido', 'Jugabilidad superficial y repetitiva']",No Mencionado,"Optimización horrible, pero visualmente impresionante",['No se mencionan bugs importantes'],"Jugabilidad superficial y vacía, con mecánicas de FPS poco pulidas","La historia es un punto fuerte, rica y emocionalmente impactante","No justifica el precio de 314 millones, se siente básico","A pesar de su rica narrativa, el juego es decepcionante en términos de jugabilidad y contenido.",Recomendado,1
